0,1,2,3,4,5,6,7,8
1,27,17,7,6,4,24,16,8
1,26,17,7,5,5,39,28,11
0,26,17,7,5,5,35,25,10
0,25,17,7,4,6,26,23,3
2,22,17,7,1,9,19,25,-6
2,19,17,5,4,8,23,29,-6
2,17,17,4,5,8,20,32,-12
3,14,17,2,8,7,15,27,-12
3,13,17,4,1,12,15,32,-17
3,13,17,3,4,10,12,29,-17
2,11,17,1,8,8,19,30,-11
2,11,17,3,2,12,18,35,-17
0,35,17,9,8,0,35,13,22
0,34,17,10,4,3,26,13,13
0,33,17,9,6,2,34,15,19
1,31,17,8,7,2,34,19,15
0,30,17,8,6,3,23,17,6
0,28,17,7,7,3,32,16,16
2,25,17,7,4,6,27,17,10
1,24,17,6,6,5,32,32,0
1,24,17,6,6,5,21,22,-1
1,24,17,6,6,5,22,24,-2
2,21,17,6,3,8,24,29,-5
2,18,17,4,6,7,10,15,-5
2,18,17,5,3,9,19,33,-14
2,17,17,4,5,8,21,27,-6
1,16,17,3,7,7,16,23,-7
3,16,17,4,4,9,18,33,-15
3,12,17,3,3,11,12,32,-20
3,6,17,1,3,13,13,39,-26
0,43,17,14,1,2,39,10,29
0,33,17,11,0,6,30,19,11
0,33,17,9,6,2,35,25,10
0,31,17,10,1,6,25,27,-2
0,29,17,8,5,4,31,20,11
1,28,17,9,1,7,25,25,0
3,26,17,8,2,7,24,21,3
2,25,17,6,7,4,32,22,10
1,24,17,7,3,7,27,28,-1
2,22,17,6,4,7,25,24,1
1,22,17,6,4,7,22,28,-6
1,21,17,6,3,8,27,27,0
2,19,17,4,7,6,24,25,-1
2,19,17,5,4,8,23,35,-12
3,17,17,5,2,10,16,30,-14
1,15,17,4,3,10,18,33,-15
2,12,17,3,3,11,32,35,-3
3,10,17,2,4,11,26,47,-21
0,37,17,12,1,4,43,10,33
0,34,17,10,4,3,35,12,23
0,34,17,11,1,5,38,22,16
0,33,17,10,3,4,25,11,14
1,29,17,9,2,6,30,31,-1
0,26,17,7,5,5,22,22,0
1,23,17,5,8,4,20,24,-4
1,22,17,6,4,7,23,20,3
2,22,17,6,4,7,19,19,0
3,21,17,6,3,8,27,35,-8
3,20,17,4,8,5,24,26,-2
1,20,17,6,2,9,23,34,-11
2,19,17,4,7,6,21,27,-6
2,18,17,4,6,7,22,29,-7
1,18,17,5,3,9,17,28,-11
3,16,17,3,7,7,13,21,-8
2,15,17,3,6,8,15,28,-13
2,13,17,3,4,10,21,39,-18
0,42,17,13,3,1,44,7,37
0,33,17,10,3,4,33,22,11
0,30,17,8,6,3,35,20,15
1,30,17,9,3,5,33,27,6
0,26,17,7,5,5,24,18,6
2,26,17,8,2,7,24,21,3
0,25,17,7,4,6,27,25,2
1,25,17,6,7,4,25,26,-1
2,25,17,7,4,6,21,28,-7
1,24,17,7,3,7,18,21,-3
1,23,17,7,2,8,32,31,1
2,22,17,6,4,7,28,29,-1
3,21,17,5,6,6,20,22,-2
1,20,17,5,5,7,17,22,-5
2,19,17,5,4,8,17,27,-10
3,12,17,3,3,11,23,41,-18
2,9,17,1,6,10,12,29,-17
3,9,17,1,6,10,11,28,-17
0,47,17,15,2,0,44,9,35
0,37,17,12,1,4,32,16,16
1,33,17,10,3,4,35,19,16
0,32,17,10,2,5,38,20,18
0,30,17,9,3,5,28,19,9
2,28,17,8,4,5,27,20,7
0,28,17,8,4,5,32,28,4
1,24,17,7,3,7,21,25,-4
1,24,17,7,3,7,25,31,-6
2,19,17,5,4,8,30,33,-3
2,19,17,5,4,8,22,37,-15
1,18,17,4,6,7,36,38,-2
1,18,17,5,3,9,23,31,-8
3,16,17,4,4,9,33,38,-5
2,15,17,3,6,8,20,29,-9
2,14,17,3,5,9,16,31,-15
3,11,17,0,11,6,17,33,-16
3,11,17,3,2,12,10,32,-22
0,45,17,14,3,0,41,4,37
0,34,17,10,4,3,33,17,16
0,28,17,7,7,3,28,20,8
0,27,17,7,6,4,25,16,9
1,27,17,8,3,6,28,21,7
0,27,17,9,0,8,22,21,1
1,26,17,7,5,5,29,25,4
2,24,17,7,3,7,21,26,-5
1,23,17,6,5,6,34,34,0
3,19,17,4,7,6,21,26,-5
2,19,17,5,4,8,17,23,-6
2,18,17,3,9,5,19,23,-4
2,18,17,5,3,9,24,35,-11
3,17,17,4,5,8,9,19,-10
2,17,17,4,5,8,20,32,-12
1,17,17,4,5,8,26,39,-13
1,15,17,4,3,10,18,26,-8
3,15,17,2,9,6,17,25,-8
0,46,17,15,1,1,46,8,38
0,38,17,12,2,3,47,23,24
1,32,17,10,2,5,26,18,8
0,29,17,9,2,6,34,30,4
0,27,17,8,3,6,25,20,5
0,27,17,8,3,6,23,23,0
1,26,17,7,5,5,26,21,5
1,24,17,7,3,7,23,23,0
1,24,17,6,6,5,18,21,-3
1,22,17,6,4,7,19,23,-4
2,20,17,5,5,7,11,18,-7
2,19,17,5,4,8,21,26,-5
2,18,17,4,6,7,17,26,-9
3,17,17,4,5,8,21,28,-7
